
Initial statistics: 63 variables; iteration 0; function evaluation 0; phase 1
Function value 1.2643736e+03; maximum gradient component mag -5.5771e+03
 73  0.17556  3.66628e+01 | 74 -0.34908 -2.10411e+00 | 75  0.26198  1.27865e-03
 76 -0.20514  8.37139e-01 |

Intermediate statistics: 76 variables; iteration 20; function evaluation 27; phase 3
Function value 3.3806940e+02; maximum gradient component mag 1.3514e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.18627  1.11578e+02 |  2  0.44127 -2.01185e+01 |  3  0.08631 -3.62173e+02
  4 -0.54907 -1.11369e+03 |  5 -0.52542 -8.26129e+02 |  6 -0.16168 -2.29789e+02
  7 -0.00047 -7.46351e-04 |  8 -0.00056  1.97697e-02 |  9 -0.00128 -3.29479e-02
 10 -0.00193 -5.86656e-02 | 11 -0.00204  1.55935e-02 | 12 -0.00371 -9.88473e-02
 13 -0.00458 -5.22922e-02 | 14 -0.00643 -7.91004e-02 | 15 -0.00881 -9.16909e-02
 16 -0.01215 -1.19730e-01 | 17 -0.01648 -1.36393e-01 | 18 -0.02202 -1.51233e-01
 19 -0.02905 -2.08117e-01 | 20 -0.03607 -1.30730e-01 | 21 -0.04236 -6.45997e-02
 22 -0.04449  4.06016e-02 | 23 -0.04088 -4.17670e-02 | 24 -0.02936  5.35651e-01
 25 -0.01166  1.49511e+00 | 26  0.14909  7.47276e+00 | 27 -0.18595  1.08230e+01
 28  0.18896  3.57406e+01 | 29  0.01912  1.89495e+01 | 30 -0.08640  1.51377e+01
 31 -0.12546  1.39944e+01 | 32  0.13931  2.89176e+01 | 33 -0.14975  1.28613e+01
 34  0.15760  3.00252e+01 | 35 -0.00575  4.65543e+00 | 36 -0.06260  3.36210e+00
 37 -0.24823  9.55895e+00 | 38 -0.06727  6.82465e+00 | 39  0.07355 -7.73540e+00
 40  0.03581 -1.38938e+01 | 41  0.02725 -1.79439e+01 | 42  0.16624 -8.38434e+01
